media,date,title,text,matched_keywords,object_class,object_decision
China News Service,2021-02-10,福建遴选青年拔尖人才 给予每位培养对象200万元支持,"中新网 福州2月10日电 (郑江洛)记者10日从福建省人力资源和社会保障厅获悉，为了加强青年高层次人才培养工作，战略性选拔支持一批青年拔尖人才成为国家级人才，福建省于2020年开始实施“雏鹰计划”青年拔尖人才遴选和支持计划。
据介绍，该计划从2020年至2024年，每年选拔50名左右的青年拔尖人才给予重点培养支持，每批次培养周期为5年。通过重点扶持和跟踪培养，打造一支学历层次高、专业潜力强、创新活力足、成长空间大的青年高层次人才队伍，并获得国家级人才(科技)项目支持。培养期内，在享受高层次人才相应待遇基础上，另给予每位青年拔尖人才培养对象200万元资金支持。
2020年12月14日，福建省已遴选出第一批“雏鹰计划”青年拔尖人才47人。2021年2月9日，福建省人社厅印发通知，启动实施第二批“雏鹰计划”青年拔尖人才遴选工作。根据通知要求，各级各部门各单位要重点围绕福建省产业发展和高层次创业创新人才选拔培养工作需要，面向各类企事业单位和其他社会经济组织，选拔推荐学术技术水平较高、创业创新能力强、发展潜力大的青年拔尖人才，并于2月23日前将申报材料报送省人社厅。(完) 【编辑:房家梁】",对象,ambiguous,remove
China News Service,2021-03-13,塔罗牌算命，帮找对象还是骗金钱流量？,"中新网 客户端北京3月13日电 (记者 谢艺观)这次考试能否顺利通过？事业上遇到“瓶颈期”怎么办？什么时候才能遇到对的那个他(她)？
当心里没底的时候，迷信地求助神佛成了不少人所谓的解决办法，但相较于父母辈找大师算命，这届年轻人更偏爱洋玩意，塔罗牌即是其中一种。
“下面有四组卡牌，请凭第一感觉选择一组跟你最有感应的牌，选好了吗？接下来揭晓答案……”
这是塔罗牌占卜的一套流程。资料显示，塔罗牌作为西方古老的占卜工具，中世纪起流行于欧洲。塔罗共78张牌，其中大阿尔卡那牌22张，小阿尔卡那牌56张，可分别使用进行占卜，也可将78张混合共同使用进行占卜。
在国内，随着社交媒体的流行，这种古老的西方占卜术也聚拢了不少爱好者。
在B站上，“你的正缘什么时候出现？”“你的对象颜值多少分？”“你会和谁结婚？”“有人暗恋你吗？这个人对你而言是烂桃花吗？”各类塔罗牌占卜视频层出不穷。
从B站塔罗牌解读视频看，分析结果多较为笼统，可套用到很多人身上。比如，“你会遇到一个长得帅又有钱还温柔的男朋友。”“你在感情里会想得很多。”再如，“他性格内敛、做事稳重，或许你的正缘已出现在你身边。”
“这实际上是在利用心理学上的‘巴纳姆效应’。”有业内人士表示，巴纳姆效应(Barnum effect)是指人很容易相信一个笼统的一般性的人格描述，并认为它特别适合自己并准确地揭示了自己的人格特点，即使内容空洞。
这一点也得到了北京市青少年法律与心理咨询服务中心主任宗春山的认同。“它的原理其实就是心理投射，所谓心理投射就是你怎么想，然后你会投入在这个事情上，它给你一个很宽泛的很模糊的回答，然后你有了一种心理上很好的暗示。”
记者注意到，目前B站部分塔罗牌占卜视频点击量已高达几十万甚至上百万。一批头部塔罗牌博主，拥有几万至几十万不等的粉丝。
不只是B站，在微博平台上，关于“塔罗牌占卜”的话题，阅读量达到28.8亿，讨论量达到397.8万；在微信上，有很多公众号、小程序提供塔罗牌占卜服务；抖音、小红书等视频社交平台上，塔罗牌占卜的点赞量也很多。其中，关于感情方面的解答更易受到欢迎。
随着粉丝量的增加，一些占卜博主会在社交平台上标注自己的微信号等，提供个人付费咨询服务。
中新网 记者添加一位博主的微信号后，其向记者发来了收费单。收费单显示，除了塔罗牌，其还提供手相、面相、测字、测星盘、双人合八字、取名字、看风水服务。其中，详解手相、面相和八字收费最贵，一个半小时需要1399元；短解手相、面相、塔罗、星盘，可问一方面或提问一个问题，提供两分钟语音点评，需要199元。
还有一些博主会标注淘宝账号，将粉丝引流到淘宝等平台上。在其中一位博主的淘宝店铺内，可以看到占卜一次需要500元，时长45分钟，通过QQ语音通话或语音信息方式联系。
这些“出圈”的博主在占卜市场上，算收费偏贵的一档。淘宝的一些塔罗牌占卜店铺，占卜一次，收费甚至不到10元。部分店主称自己是CTA、COA认证塔罗师，甚至还有人称自己为亚洲塔罗协会会长的店铺商家，收费要相对高一些。
但记者查询有关网站，并没有出现所谓的相关职业资格认证。“塔罗占卜根本没有国家认证这一说法，CTA、COA和B站上的亚洲塔罗协会都是一些私人机构，你得参加付费培训，具有一定能力才可以拿到，是一个塔罗小白觉得很牛，其实社会上并没有什么用的‘证书’。”有自称塔罗牌占卜师的网友在社交平台上表示。
这些占卜博主的变现途径除了一对一算命外，还会售卖转运商品。在一位博主的淘宝店铺中， 中新网 记者注意到，商家会卖些铜贴、转运项链、文昌塔之类的东西，价格几十元至上百元不等。同时还会有不同功用的御守，比如旺财、旺事业、防小三等，价格在两百元以上。
值得一提的是，当测算结果不好时，一些占卜师会提供额外的点蜡烛等服务。“几句话就没了，想让占卜师再多说点，就直接要338元点蜡烛，不带这么坑的。”在一家塔罗牌占卜店铺评论区，有消费者吐槽。在这背后可能存在诈骗。
2月21日，深圳龙岗警方就根据举报线索查处了一家以塔罗牌占卜为名实施迷信诈骗的店铺。据查，该店铺自2018年开始提供“占卜算命”“沟通阴阳”服务，以帮助“偿还阴债”等为由诱导客户购买“水晶”“朱砂”等货品，收取高达上万元的费用。
另据媒体报道，2020年12月底，广西南宁市市场监督管理局公平交易稽查局接到群众举报称，一名为“命运塔罗”旗舰店的商店涉嫌封建迷信宣传。从店铺近两个月的销售记录中发现，营业额超过13万元。
至于这些售价高昂的产品有何神奇功效？该店铺的法定代表人在回答执法人员时表示：“没有什么功效”。她以一款名为“冲花凉”(音译)的项目为例，虽然价格高达3800元/次，但实际就是“拿些花给他(顾客)洗个冷水澡”，“主要就是个仪式”。
关于塔罗牌的定性，一直以来都争论不休。这种来自西方的占卜术，是否为迷信活动？售卖转运商品、举行转运仪式又是否违法？
对此，北京云通律师事务所主任闫兵告诉记者，“塔罗牌是一种西方古老的占卜方法。如果将之视为一种文化分享或者哲学层面的研究解读，无可厚非，但有偿从事塔罗牌的经营，那么则应分情况讨论。”
“若只是从事塔罗牌理论或者占卜方法的传播，那么尚可归结于文化层面。”闫兵指出，但如果强调其占卜属性，有偿从事的是塔罗牌的算命，那这个应当可以被定性为“迷信”的范畴。
“如果商家售卖相关转运商品、举行转运仪式，就可能构成虚假宣传。”闫兵说。
你进行过塔罗牌占卜吗？敢相信吗？ (完)",对象|结婚,ambiguous,remove
China News Service,2021-03-15,官方：脱贫人口小额信贷不能用于结婚建房等非生产性支出,"中新社 北京3月15日电 (记者 王恩博)中国银保监会、财政部、中国人民银行、国家乡村振兴局15日公布《关于深入扎实做好过渡期脱贫人口小额信贷工作的通知》，为脱贫人口小额信贷的使用范围划下红线。
所谓脱贫人口小额信贷，是指支持对象是建档立卡脱贫户，贷款金额原则上5万元人民币(含)以下，贷款期限3年期(含)以内，实施免担保免抵押，财政资金适当贴息，鼓励以贷款市场报价利率(LPR)放款，现有风险补偿机制保持基本稳定。边缘易致贫户可按照执行。
《通知》指出，脱贫人口小额信贷坚持户借、户用、户还，精准用于贷款户发展生产和开展经营，不能用于结婚、建房、理财、购置家庭用品等非生产性支出，也不能以入股分红、转贷、指标交换等方式交由企业或其他组织使用。
《通知》强调，要切实满足脱贫人口信贷需求。银行机构要在符合政策、风险可控的前提下，准确开展评级授信，合理确定贷款额度和期限，努力满足脱贫人口贷款需求。要加强脱贫人口小额信贷续贷和展期管理，合理追加贷款，不断创新信贷服务方式。
《通知》还指出，要有效防控信贷风险。完善银行机构信贷管理机制，不过度强调获贷率，切实规范信贷资金发放和使用。稳妥处置逾期贷款，健全风险补偿和分担机制。(完) 【编辑:周驰】",对象|结婚,ambiguous,remove
CCTV,2021-03-19,央视网评｜7万硕士送外卖？别因“伪焦虑”而瞎焦虑,"男人有“发际线焦虑”“中年焦虑” ，女人有“身材焦虑”“颜值焦虑”；生娃的有“教育焦虑”，单身的有“催婚焦虑”；赚钱的有“中产焦虑”，没出校门的有“就业焦虑”；学霸们有“内卷焦虑”，普通人有“学历焦虑”……
最近一波“焦虑”就是由学历引发，不过这次，学历成了被“嘲笑”的对象。
在一篇名为《7万硕士送外卖：中国正在催生一批高学历穷人》的自媒体文章中，作者就利用“职业歧视＋读书无用论＋制造焦虑”的流量密码，炮制出一大碗毒鸡汤“投喂”受众，一度还引发了不少“共鸣”。
有心媒体点破真相，所谓“7万硕士”的数据根本经不起任何推敲，它最初来源于“饿了么”一份名为《2019大学生外卖骑手群体洞察》的报告，其中有一项数据为：2019年暑期共计有9896名全国各地大学生新加入饿了么蜂鸟即配成为兼职骑手，在年级分布上，有1％是研究生及以上。
事实上，报告仅针对2019年暑期，许多大学生会选择暑期做兼职，开学后兼职即结束。而且，1％的研究生比例不是从全部骑手中统计出来的，仅是大学生兼职骑手中的研究生比例。但个别自媒体就根据网络流传的“全国共有700万外卖小哥”的数据，简单以这个毫不具有代表性的1％进行换算，得出了7万硕士做外卖员的荒谬结论。
就是如此一篇漏洞百出、毫无根据的口水文章，居然让不少人莫名紧张甚至“心有戚戚焉”，这实质上是一种“伪焦虑”。
何为“伪焦虑”？其实就是为一些与己无关、对自己也没什么影响的事情而焦虑。这种人往往不清楚自己工作、生活的目标，只是常常处于一种对未来不确定的状态中，缺乏安全感，又有很强的从众心理，是焦虑贩卖者的“天然猎物”。
这是一种“病”，得治！对症才能下药，首先要问清自己一个关键问题——
到底哪些是真正的“需要”，哪些是跟风的“想要”？譬如“身材焦虑”，是真的出于健康管理的需求，还是因为受减肥之风的影响？又如“学历焦虑”，某种学历对你真的有用或者你真想提高自己，还是仅仅因为身边人有而你没有？
工作也好，生活也罢，我们要有目标、有定力，不能随随便便就被几篇粗制滥造的“爆款文”干扰。中国有句老话叫“丰俭由人”，这四个字里有无穷的智慧，既不是躺平认命的颓丧，也没有逞强斗勇的鸡血。仔细想想，如果踏踏实实走好每一步，认认真真过好每一天，又有什么好焦虑的呢？
万事万物，结果会在过程中定型，明日是无数个今日的积累，一口吃不成个胖子，三天不吃也饿不死骆驼，何必把焦虑的线头拽出来放大加黑？
其实，在任何一个发展稳健、蓬勃向上的社会，快节奏和高压力都不可避免。适当的焦虑，不但不会影响生活，还能鼓励竞争、增加活力。只要摆正了位置，它就像手机里的闹钟、赛道上紧追着自己的对手，带给人些许紧张，同时伴随着刺激与兴奋，甚至是小小的幸福。
生活很多时候的确是温水，但我们未必就是那只被焖死的青蛙，也可以是五彩斑斓的热带鱼，在自己的一方小天地欢快游弋、肆意生长。（文／鹿鸣）",催婚|单身|对象,ambiguous,keep
China News Service,2021-03-30,中国常驻日内瓦代表团发言人：人权与跨国公司问题工作组企图抹黑中国，是找错了对象,"中国常驻日内瓦代表团发言人：人权与跨国公司问题工作组企图抹黑中国，是找错了对象
中新社 柏林3月29日电 日内瓦消息：当地时间3月29日，人权理事会人权与跨国公司问题工作组等特别机制专家出于对中国偏见和政治目的，恶意歪曲事实，散布所谓“强迫劳动”谬论。中国常驻日内瓦代表团发言人刘玉印当天对此发表谈话称，中方坚决反对，完全拒绝。
刘玉印表示，中国是社会主义国家，56个民族像石榴籽一样紧紧抱在一起，都是中华民族大家庭的平等一员。中国政府坚持以人民为中心的执政理念，到2020年已消除绝对贫困。中国中央政府对少数民族地区发展更是倾注大量心力。2012年至2018年，中央财政对新疆补助达1.61万亿元人民币，新疆70%以上的财政支出用于改善民生，就业、教育、医疗、住房等方面惠民工程持续推进，新疆城乡居民人均可支配收入自1978年以来增长了上百倍。包括维吾尔族在内的各族人民完全具有自主择业、平等就业的权利和自由，他们正用自己的双手创造美好幸福生活。在保障少数民族权利、保障人民劳动就业权利方面，中国绝对是世界上的“优等生”。“人权与跨国公司问题工作组企图抹黑中国，是找错了对象。”
刘玉印指出，中国制造业正在向中高端迈进，该工作组提到的农业、纺织业、服装业、汽车制造业等行业的自动化程度不断提高。举例而言，2020年新疆棉花机械采摘率已达70%，昌吉溢达纺织有限公司自动化率超过90%。中国很多行业正在向数字化、智能化发展，在世界上率先进入“互联网＋”时代。中国每个村庄都有4G网络，5G网络也在飞速发展，包括新疆在内的各地农民通过互联网销售农产品早已成为潮流。我们不禁要问，在数字经济和智能化产业时代，怎么可能存在“强迫劳动”？该工作组成员自诩为“专家”，实际是坐井观天，对中国科技进步和相关行业发展一无所知，却散布在逻辑上根本站不住脚的谎言，只会成为世人的笑柄。
刘玉印续指，个别西方国家和反华势力出于抹黑中国形象、破坏中国稳定、遏制中国发展的政治图谋，编造关于中国新疆所谓“强迫劳动”、“大规模监禁”等谎言，遭到包括新疆各族人民在内的全体中国人民一致谴责和唾弃。人权与跨国公司问题工作组积极配合反华势力，甘当“传声筒”、“放大器”，对中国政府多次向其提供的权威信息置之不理，在公开表态中只字不提，充当“装睡的人”，其政治倾向性昭然若揭，这严重违反人权理事会公正、客观、非选择性等原则。该工作组打着人权旗号，肆意对中国企业进行污名化，损害他们的名誉和形象，也严重损害维吾尔族劳动者的生计和人权。我们不禁要问，人权理事会设立特别机制是为了促进和保护人权，还是为了让他们侵犯人权？
“我们欢迎公正、客观的各国朋友访问中国，访问新疆，不欢迎抱有偏见的人来中国搞所谓‘有罪推定式的调查’。”刘玉印表示，我们希望该工作组认真反省错误，纠正对中国的偏见，在履职过程中做好家庭作业，提高专业素养，摒弃出于政治考虑而无视基本事实和会员国权威信息、动辄公开发表错误言论等作法。(完) 【编辑:孟湘君】",对象,ambiguous,remove
China News Service,2021-04-07,AZ疫苗扩大施打对象 高雄医护有人想再等等,"中国台湾网4月7日讯 据台湾《联合报》报道，阿斯利康(AZ)疫苗在台开打至今约2周，高雄市统计至4月4日共有3085人次接种，并在6日起接种对象扩大为所有医院相关人员，调查有7000多人有接种意愿，只占三分之一，部分医护人员依旧对施打疫苗持观望态度。
据报道，疫苗扩大施打对象，高雄符合对象的医护人员有2.2万多人，目前调查有7000多人有施打意愿，约占三分之一，预计4月9日开始注射.
高雄市诊所协会理事长杨宜璋表示，部分医护人员对施打疫苗持观望态度，一方面是觉得打疫苗迫切性不大，另一方面是忧心疫苗副作用，希望等安全性较高的疫苗问市后再来打。
高雄县医师公会理事长王宏育表示，倾向不打阿斯利康(AZ)疫苗，打定主意要等莫德纳疫苗，他也鼓励身旁亲友、病患依据当局规划的防疫节奏，循序渐进接种疫苗。(中国台湾网 张玲） 【编辑:王诗尧】",对象,ambiguous,remove
China News Service,2021-04-10,云南瑞丽11日起开展第三轮全员核酸检测 检测对象包括城区和农村居民,"云南省瑞丽市疫情防控工作指挥部办公室4月10日发布通告，根据疫情防控需要，瑞丽市决定自4月11日起开展第三轮全员核酸检测。
据悉，此次核酸检测的对象为瑞丽市全体居民。采样时间为4月11日至12日。城区居民到各网格单位设置的采样点采样，农村居民到所属乡(镇)、农场、村(社区)规定采样点采样。通告要求广大居民积极参与，服从管理，有序排队，避免聚集，认真做好个人防护，确保不漏一户，不漏一人；在前往采样点途中，居民一律直接前往采样点配合工作，杜绝一切不必要的出行和聚集活动，采样结束后继续执行居家隔离令；采样前提前填写“德宏抗疫情”小程序，携带手机、身份证、胞波卡等有效证件；排队等候须保持1米以上距离，不相互交谈。(总台央视记者 李健飞 李腾飞 陶世飞 李劲松)",对象,ambiguous,remove
China News Service,2021-04-13,台湾台中市推“银发族媒人养成班”以期提高结婚率和生育率,"中新社 台北4月13日电 台湾台中市日前推出“银发族媒人养成班”，以期提高结婚率和生育率。
综合中时新闻网、联合新闻网等台媒报道，台当局有关部门公布数据显示，台湾结婚对数自2015年起不断下降，由15.4万对下降至2020年的12.1万对，2021年前三个月仅2.8万对新人结婚。此情况下，台湾新增人口自2017年起逐年下降，2020年更出现负增长。
台湾各县市纷纷通过补助结婚、生育等措施，以期提高结婚率和生育率。台中市日前推出“银发族媒人养成班”，培养退休人员成为媒人；目前主要课程包括成功经验分享、两性关系、交往与约会、感情发展、沟通艺术、家庭问题处理等。
数据显示，台中市2020年有1.5万对新人登记结婚、不足2万人出生，创下新低。台中市议员吴敏济指，台湾人口负增长趋势如不改变，不久将出现人力不足，消费市场萎缩等问题。此次培训班主要面向银发族，是因为他们人生阅历丰富，非常适合扮演媒人角色。
台北市社会局局长彭怀真认为，现代男女并非不恋爱，只是不愿成家，提高结婚率是抢救出生率的关键。目前社会上仍存在女方要配合男方等观念，女性地位较低，致使很多女性恐婚，破除这些观念才能牵成红线。
第一轮培训班一经推出名额就被抢空，主办方还增加名额以满足需求。报名者多为期盼晚辈结婚的银发族，也有人希望通过课程认识其他媒人替晚辈牵红线。
有学员称，亲友间有很多适婚年轻人缺乏对象，希望通过学习，帮助亲友解决问题。(完) 【编辑:李玉素】",对象|恋爱|恐婚|结婚,ambiguous,keep
China News Service,2021-04-15,上海建成城管执法对象的综合数据库 “智慧城管”建设提升监管水平,"中新网 上海4月15日电(陈静 徐程炜)上海市城管执法局15日披露，该局依托内部自建和外部共享两种方式，建成涵盖21类城管执法对象的综合数据库，为分类分级执法监管新模式提供了有力支撑。
该局运用数据过滤、修正、封装等技术，开展执法对象数据标准化治理，确保沿街商户的数据全面、准确、及时。
在城市数字化转型中，该局在提升“智慧城管”建设和应用，改革创新勤务管理机制同时，充分运用城管执法对象监管系统的数据资源，探索推进街面环境分级分类执法管控。
在推行分级分类等级管理过程中，上海市城管执法局综合沿街商户业态、商户依法经营情况等情况，对沿街经营商户进行风险等级初始设定，设置“红、黄、绿”三色情况，分别对应不同执法检查频次：显示为“红色”的商户、每两日辖区中队执法队员至少检查1次；“黄色”商户，每周至少检查1次；“绿色”商户、每月至少检查1次。结合辖区城管执法中队队员开展日常检查、执法办案以及市民投诉、媒体曝光、实效督察等情况，上海市城管执法局会动态对沿街商户风险(颜色)等级作升降级调整。
据介绍，3月中旬，申城城管执法系统组织专项行动，对20余万家沿街商户开展了分级分类执法管控工作。截至目前，红色(高风险)商户为66780家，较上一检查周期减少了4964家；黄色(中风险)商户为103058家，较上一检查周期减少了3936家；绿色(低风险)商户为37469家，较上一检查周期增加了6079家。
采访中，记者了解到，在浦东，城管部门已初步构建由1个局综合信息平台、35个城管中队微平台、1800余个城管队员手机APP执法终端组成的“三位一体”智能体系，做到了“人车撒点找得到”“视频接入看得见”“通讯对讲叫得应”的新型勤务指挥模式；优化四级闭环执法流程，极大提升了城管执法的智能化、专业化、科学化执法指挥监管水平。
在沿街商户风险(颜色)等级先行先试中，通过“数字城管”的应用，浦东城管主动发现问题、解决问题能力与执法实效得到明显提升。针对跨门营业、乱设摊和占道洗车等街面环境秩序突出问题，浦东城管开发多维度智能场景算法模型，实现对街面违法行为的智能识别、自动采集、精准聚焦。
上海市城管执法局方面透露，今年，该局将以浦东先行先试的经验为基础，以城市数字化转型为契机，在全市城管执法系统推行街面环境分级分类执法管控新模式，实现对城市管理中的违法违规行为“精准研判、及时发现、高效处置、长效管控”，推动对沿街商户管理服务和执法管控方式的创新转变。
同时，该局将进一步加大科技赋能的力度，聚焦高频急难问题，针对民众投诉集中、容易出现回潮的违法乱象打造一批具有标杆示范意义的应用场景，为上海乃至全国城市治理数字化转型创造经验、提供样板。(完) 【编辑:张楷欣】",对象,ambiguous,remove
China News Service,2021-04-18,江苏将颁发“光荣在党50年”纪念章等 并向有关慰问对象发放补助金,"中新网 南京4月18日电 (记者 朱晓颖)中共江苏省委组织部副部长、省委“两新”工委书记周为号18日在南京介绍，江苏将颁发“光荣在党50年”纪念章等，并向有关慰问对象发放一次性生活补助金。
当日，中共江苏省委新闻发布会在南京举行。周为号在发布会上作出上述介绍。
周为号表示，今年，党中央部署开展“七一”表彰，主要包括颁授“七一勋章”、评选“两优一先”。按照中央要求，3月，江苏省委向党中央推荐了“七一勋章”初步建议人选和20名全国优秀共产党员、16名优秀党务工作者、26个先进基层党组织推荐对象。
除中央表彰外，今年中共江苏省委也将在“七一”前表彰省优秀共产党员、优秀党务工作者和先进基层党组织各100个，这是近20年来中共江苏省委“两优一先”表彰数量最多的一次。
周为号表示，对于“光荣在党50年”纪念章，党中央设立纪念章的目的，是从政治上激励、精神上鼓舞广大党员，进一步增强党员的荣誉感、归属感、使命感。据统计，江苏符合条件的共有50.2万名。今后，纪念章一般每年“七一”集中颁发一次。今年5月底前，江苏将把纪念章发送至县(市、区)委组织部和相关单位，确保每名符合条件的老党员在7月1日前收到。
周为号表示，中共江苏省委组织部将配合江苏省委开展走访慰问活动，对获得党内功勋荣誉表彰的党员、生活困难党员、老党员、老干部和烈士遗属、因公殉职党员干部家属进行慰问，经初步统计，慰问对象有10.1万名。同时，江苏还将向新中国成立前入党的农村老党员、未享受离退休待遇的城镇老党员，发放一次性生活补助金。(完) 【编辑:孙静波】",对象,ambiguous,remove
China News Service,2021-05-14,日首相召开新冠对策会 紧急事态宣言对象新增3个道县,"中新网 5月14日电 据日本共同社报道，当地时间14日傍晚，日本首相菅义伟在官邸召开新冠病毒感染症对策总部会议，就基于修改后的新冠特别措施法发布的紧急事态宣言对象，宣布新增北海道、冈山、广岛3个道县，时间为本月16日至31日。
据报道，日本政府最初计划将群马、石川、冈山、广岛、熊本5县，追加列为防止蔓延等重点措施的对象，但在上午的基本应对方针小组会会议上，专家要求采取强有力的应对措施，因而紧急改变了决定。群马、石川、熊本3县按计划列为防止蔓延措施的对象，时间为5月16日至6月13日。
由此，基于特措法的宣言对象为新增的3个道县以及东京、爱知、京都、大阪、兵库、福冈，共9个都道府县。防止蔓延措施的对象为埼玉、千叶、神奈川、岐阜、三重、爱媛、冲绳加上此次新增3县，共10个县。
报道指出，日本政府采取了要求提供酒类的餐饮店停业，以及加强对印度变异毒株的口岸防控等措施，但疫情向地方蔓延的势头显然仍在持续。
经济再生担当相西村康稔就暂不追加宣言对象的方针，14日向小组会征询了意见。但专家表达了对变异毒株导致疫情蔓延以及病床吃紧的担忧，同时也有意见认为，从敦促国民转变行动的观点出发，应当发布宣言。因此，政府转变方针在宣言对象中新增3个道县。",对象,ambiguous,remove
China News Service,2021-05-14,福建宁德警方去年抓获8名“猎狐”对象,"中新网 宁德5月14日电 (吴允杰)在14日举行的福建省宁德市公安局打击和防范经济犯罪工作新闻发布会上，警方透露，2020年先后从肯尼亚、缅甸、马来西亚、柬埔寨、南非等国家以及台湾地区抓获8名“猎狐”对象。
据介绍，“猎狐”对象张某平2015年7月因涉嫌非法吸收公众存款罪潜逃偷渡到缅甸，宁德市霞浦县公安局通过研判，获取了张某平及其丈夫连某朋落脚点为与云南省西双版纳傣族自治州勐海县打洛镇比邻的缅甸国第四特区勐拉。
经福建省公安厅经侦总队协调云南省西双版纳傣族自治州公安局，2020年6月22日，缅甸国第四特区勐拉警察局将“猎狐”对象张某平抓获；同年6月24日，缅甸国第四特区勐拉警察将“猎狐”对象张某平移交给中国警方。
宁德市公安局党委委员、副局长颜细斌表示，2020年全市公安机关组织开展了“猎狐2020”、打击非法集资、“昆仑2020”等专项行动，共破获各类经济犯罪案件258起，抓获犯罪嫌疑人468名，移送起诉402名。
其中，警方不断加大对非法集资案件的侦办力度，共破非法集资案110起，移送起诉犯罪嫌疑人130名；共破地下钱庄类案件13起。(完) 【编辑:张燕玲】",对象,ambiguous,remove
