official_account,parent_post_id,post_created_at,post_month,keyword_group,keyword_categories,matched_keywords,parent_post_text,comment_id,comment_created_at,comment_month,comment_text
,5143785836385231,,,,,,,5143787408197446,2025-03-13T17:25:48+08:00,2025-03,希望进一步提高补贴待遇让母亲们享有更多政策红利
,5143785836385231,,,,,,,5143849484687451,2025-03-13T21:32:28+08:00,2025-03,天津有没有，我正在犹豫要不要二胎
人民日报,5145458412097822,2025-03-18 08:05,2025-03,fertility,fertility,生育,【划重点！#促增收保休假这个方案与你有关#】近日，《提振消费专项行动方案》印发。休假、收入、生育、住房、养老、旅游……#9图了解提振消费专项行动方案#↓↓与你有关，收藏了解！,5145468562047031,2025-03-18T08:46:05+08:00,2025-03,希望能真正落实到位。不然请个年休假还要各种编理由[二哈][二哈][二哈][二哈]
,5145458412097822,,,,,,,5145709579601962,2025-03-19T00:43:49+08:00,2025-03,年休假10多年没修完了[泪][泪][泪]不让休
,5145458412097822,,,,,,,5145718533391151,2025-03-19T01:19:24+08:00,2025-03,落实到每一户企业谢谢[微笑]
,5145458412097822,,,,,,,5145810404905290,2025-03-19T07:24:28+08:00,2025-03,怎么提升就业率没说呢？[允悲]
,5145458412097822,,,,,,,5145459140332929,2025-03-18T08:08:40+08:00,2025-03,希望做好落实，让老百姓早日得到实惠。[作揖]
,5145458412097822,,,,,,,5145856215092349,2025-03-19T10:26:30+08:00,2025-03,多放点假，少加点班，什么都有了
,5145458412097822,,,,,,,5145831876855825,2025-03-19T08:49:47+08:00,2025-03,最近我们被迫996了[允悲]
,5145458412097822,,,,,,,5145804667094800,2025-03-19T07:01:40+08:00,2025-03,家电国补已经有了[赞]
,5145458412097822,,,,,,,5145657545069662,2025-03-18T21:17:03+08:00,2025-03,这个够霸气[打call]看了确实有点心动
,5145458412097822,,,,,,,5145461342342787,2025-03-18T08:17:25+08:00,2025-03,政策都是好政策，期待一个落实情况[哪吒嘟嘴]
,5145458412097822,,,,,,,5145459405881666,2025-03-18T08:09:42+08:00,2025-03,既开增收源，也促消费流。[赞][赞]👏👏
,5145458412097822,,,,,,,5145849950372502,2025-03-19T10:01:35+08:00,2025-03,落实休假制度真的很重要！
,5145458412097822,,,,,,,5145891863792191,2025-03-19T12:48:09+08:00,2025-03,银行带头跟国家对着干
,5145458412097822,,,,,,,5145872275606583,2025-03-19T11:30:19+08:00,2025-03,拼多多还在每天打底12小时，一周上6天呢，周日上班只给一倍工资。法定节假日也是打折，7天变5天，3天变2天，除了春节都没有三倍加班工资。什么时候来管管法外狂徒拼多多？
,5145458412097822,,,,,,,5145470419863402,2025-03-18T08:53:29+08:00,2025-03,希望早日落实到位
,5145458412097822,,,,,,,5146041494276762,2025-03-19T22:42:44+08:00,2025-03,只把一件事做好，就是生活本初的节奏，再忙再累的日子都会云淡风轻，再苦再咸的生活都不值一提。这种无法放弃的力量就来自于内心。
,5145458412097822,,,,,,,5145952465979775,2025-03-19T16:48:58+08:00,2025-03,很有必要了解一下[坏笑]关键是能落实到位[鼓掌]#9图了解提振消费专项行动方案#
,5145458412097822,,,,,,,5145887009673067,2025-03-19T12:28:52+08:00,2025-03,求求了，有没有人管管民企啊！[苦涩][苦涩][苦涩] 周末写字楼能不能都强制断电啊
,5145458412097822,,,,,,,5145846250736592,2025-03-19T09:46:54+08:00,2025-03,希望能实现吧 私企是很难...
,5145458412097822,,,,,,,5145843586302298,2025-03-19T09:36:18+08:00,2025-03,不提升就业率！白搭
,5145458412097822,,,,,,,5145839720466757,2025-03-19T09:20:57+08:00,2025-03,最喜欢休假那一条！
,5145458412097822,,,,,,,5145836670158856,2025-03-19T09:08:50+08:00,2025-03,都能落地实施就好啦
,5145458412097822,,,,,,,5145809206641791,2025-03-19T07:19:41+08:00,2025-03,[鼓掌][鼓掌][鼓掌]期待各项落地性方案的颁布[哇][哇][哇]
,5145458412097822,,,,,,,5145777773216259,2025-03-19T05:14:48+08:00,2025-03,与你有关，收藏了解！ #促增收保休假这个方案与你有关# 
,5145458412097822,,,,,,,5145709796918689,2025-03-19T00:44:41+08:00,2025-03,支持一系列提振消费举措，其中很多都是让普通百姓受益的好消息[赞]
,5145458412097822,,,,,,,5145708177133295,2025-03-19T00:38:15+08:00,2025-03,支持支持支持！希望可以落实到位[拳头][拳头][拳头]#9图了解提振消费专项行动方案# 
,5145458412097822,,,,,,,5145704617214371,2025-03-19T00:24:05+08:00,2025-03,#9图了解提振消费专项行动方案# #促增收保休假这个方案与你有关# 
,5145458412097822,,,,,,,5145687012678290,2025-03-18T23:14:09+08:00,2025-03,#9图了解提振消费专项行动方案# .#促增收保休假这个方案与你有关# .先卷走收藏了～等空闲的时候仔细看看，希望好的方案可以尽快实行！！！！！！🙏🙏
,5145458412097822,,,,,,,5145684081905057,2025-03-18T23:02:30+08:00,2025-03,今日转载～爱就一个字：增收促消费#提振消费专项行动方案印发# 
,5145458412097822,,,,,,,5145681006431150,2025-03-18T22:50:17+08:00,2025-03,中小学春秋假不错，可以带孩子旅游
,5145458412097822,,,,,,,5145671989463342,2025-03-18T22:14:27+08:00,2025-03,我会努力赚钱消费的[允悲]
,5145458412097822,,,,,,,5145664817988898,2025-03-18T21:45:57+08:00,2025-03,和我们的日常生活息息相关！希望可以落实！
,5145458412097822,,,,,,,5145656362278330,2025-03-18T21:12:21+08:00,2025-03,弱弱问句：促进工资性收入是指企业会给涨工资吗？我入职三年多都没给涨过[泪]
,5145458412097822,,,,,,,5145537361481623,2025-03-18T13:19:29+08:00,2025-03,能不能落实到位#促增收保休假这个方案与你有关# 
,5145458412097822,,,,,,,5145522618504607,2025-03-18T12:20:54+08:00,2025-03,休息日按基础工资1.5倍加班费违法吗？
,5145458412097822,,,,,,,5145492809319362,2025-03-18T10:22:26+08:00,2025-03,休假、收入、生育、住房、养老、旅游……与你有关，收藏了解！​​​#六部门详解最新提振消费方案#
,5145458412097822,,,,,,,5145490107400656,2025-03-18T10:11:42+08:00,2025-03,希望可以落实到位
,5145458412097822,,,,,,,5145489881173490,2025-03-18T10:10:49+08:00,2025-03,#9图了解提振消费专项行动方案# 仔细看看#促增收保休假这个方案与你有关# 
人民日报,5145534693377608,2025-03-18 13:08,2025-03,fertility,fertility,生育,【免申即享，#江苏大部地区生育津贴直发个人账户#】#生育津贴如何计算#？这是江苏省的实践经验↓↓↓据介绍，#江苏大部地区女职工产假结束生育津贴自动到账#。（人民日报记者白光迪）O江苏大部分地区实现生育津贴“免申即享”,5145548618993622,2025-03-18T14:04:13+08:00,2025-03,看的都冲动了呢～能不能生个女儿哈哈哈哈
,5145534693377608,,,,,,,5145540576939920,2025-03-18T13:32:16+08:00,2025-03,#江苏大部地区生育津贴直发个人账户#这也太好了，给江苏点赞！
,5145534693377608,,,,,,,5145537789034725,2025-03-18T13:21:10+08:00,2025-03,是应该多给生育女性一些福利和照顾[赞]
,5145534693377608,,,,,,,5145588635797925,2025-03-18T16:43:14+08:00,2025-03,感谢党感谢cctv感谢路边的鸭子跟小狗[打call][打call][打call]
,5145534693377608,,,,,,,5145573482302890,2025-03-18T15:43:01+08:00,2025-03,不错，果然让人心动
,5145534693377608,,,,,,,5145536014846996,2025-03-18T13:14:08+08:00,2025-03,经过中间商必有降价。[赞]
,5145534693377608,,,,,,,5145570310620492,2025-03-18T15:30:25+08:00,2025-03,啊，苏州的不还是发到单位账户上的吗
,5145534693377608,,,,,,,5145534927733954,2025-03-18T13:09:49+08:00,2025-03,这个好，我们还得单位去走流程
,5145534693377608,,,,,,,5145567622333216,2025-03-18T15:19:44+08:00,2025-03,所以大部分地区是指哪些地区[doge]弄不懂
,5145534693377608,,,,,,,5145559360081872,2025-03-18T14:46:54+08:00,2025-03,挺好的，少好多麻烦事
,5145534693377608,,,,,,,5145592470177357,2025-03-18T16:58:28+08:00,2025-03,给这点钱，不够塞牙缝的
,5145534693377608,,,,,,,5206369687045471,2025-09-02T10:05:26+08:00,2025-09,都9月了，常州还是发给单位账户呀
,5145534693377608,,,,,,,5181386866300339,2025-06-25T11:32:37+08:00,2025-06,这个大部分地区，不包括江苏淮安[笑cry]
,5145534693377608,,,,,,,5145947882131220,2025-03-19T16:30:45+08:00,2025-03,没用，老板今天还说产假就98天
,5145534693377608,,,,,,,5145824033771256,2025-03-19T08:18:37+08:00,2025-03,江苏省淮安市淮安区怎么不是免申？
,5145534693377608,,,,,,,5145820563768576,2025-03-19T08:04:50+08:00,2025-03,请问大宝3岁了，生大宝的时候，媳妇没有生育津贴，现在还可以申请用男方的报吗？
,5145534693377608,,,,,,,5145621306021434,2025-03-18T18:53:03+08:00,2025-03,常州生育津贴有多少
,5145534693377608,,,,,,,5145595308149942,2025-03-18T17:09:45+08:00,2025-03,南通不是，所以哪里大部分
,5145534693377608,,,,,,,5145587956844127,2025-03-18T16:40:32+08:00,2025-03,大部分地区不包括南京对吗？
,5145534693377608,,,,,,,5145586027464732,2025-03-18T16:32:52+08:00,2025-03,今年享受到了无创基因检测进医保，网上看1000多，走医保只花了200出头，下面就看生育津贴到底拿到多少了
,5145534693377608,,,,,,,5145585174972660,2025-03-18T16:29:29+08:00,2025-03,所以有苏州吴中吗[doge][doge][doge]月底生[doge]
,5145534693377608,,,,,,,5145579130717857,2025-03-18T16:05:28+08:00,2025-03,刚电话咨询社区，苏州没有，还是到公司再到个人。另外二胎没有任何补贴，和原来一胎一样
,5145534693377608,,,,,,,5145578254894126,2025-03-18T16:01:59+08:00,2025-03,这个大部分敢不敢说出来是哪些[喵喵]
,5145534693377608,,,,,,,5145577176957202,2025-03-18T15:57:41+08:00,2025-03,自由职业为啥不能交生育险？
,5145534693377608,,,,,,,5145554797202621,2025-03-18T14:28:46+08:00,2025-03,不在公司上班的，交了灵活就业保险的有没有
,5145534693377608,,,,,,,5145548542448696,2025-03-18T14:03:55+08:00,2025-03,先把教育有关问题赶紧解决吧
,5145534693377608,,,,,,,5145539550383591,2025-03-18T13:28:11+08:00,2025-03,湖南也赶紧安排上呀
央视新闻,5141572955148840,2025-03-07 14:46,2025-03,fertility,family_childrearing,育儿,#育儿补贴会有直接惠民措施#【#正起草育儿补贴方案#】#两会#3月7日，国家卫生健康委员会主任雷海潮在参加十四届全国人大三次会议江苏代表团开放团组会议时透露，国家卫生健康委正在会同有关部门起草相关育儿补贴的操作方案，届时大家会看到在育儿补贴方面会有直接的惠民的措施和相应的政策安排。,5141597810066133,2025-03-07T16:25:06+08:00,2025-03,最实在的就是把钱补贴到妈妈手上[允悲][允悲][允悲]
,5141572955148840,,,,,,,5141604931473543,2025-03-07T16:53:25+08:00,2025-03,如果幼儿园免费还可以，跟小学一样
,5141572955148840,,,,,,,5141604114109168,2025-03-07T16:50:10+08:00,2025-03,实行十二年义务教育，让每个孩子都接受教育到成人
,5141572955148840,,,,,,,5141604604053562,2025-03-07T16:52:07+08:00,2025-03,娃娃用的东西降价就行
,5141572955148840,,,,,,,5141599153033805,2025-03-07T16:30:27+08:00,2025-03,期待赶紧补贴幼儿园学费吧这个最实在
,5141572955148840,,,,,,,5141603749467813,2025-03-07T16:48:43+08:00,2025-03,再不快点小孩都要长大了
,5141572955148840,,,,,,,5141600833635965,2025-03-07T16:37:08+08:00,2025-03,育儿假多放几天。幼儿园降低收费🙏
,5141572955148840,,,,,,,5141603469230243,2025-03-07T16:47:35+08:00,2025-03,希望多一些公立幼儿园
,5141572955148840,,,,,,,5141598284287567,2025-03-07T16:27:00+08:00,2025-03,学龄前幼稚园应该免费，以解孩子家长的后顾之忧。
,5141572955148840,,,,,,,5141599931859812,2025-03-07T16:33:33+08:00,2025-03,快点正式发布，我刚怀上[doge]
,5141572955148840,,,,,,,5141597546355108,2025-03-07T16:24:04+08:00,2025-03,希望育儿补贴早日落实到百姓身边 祝愿国泰民安 繁荣昌盛
,5141572955148840,,,,,,,5141596807890378,2025-03-07T16:21:08+08:00,2025-03,每个月能省个尿不湿钱也好
,5141572955148840,,,,,,,5141602804697084,2025-03-07T16:44:58+08:00,2025-03,今年9月份上小学的还能赶上么
,5141572955148840,,,,,,,5141597805874719,2025-03-07T16:25:06+08:00,2025-03,快点吧要赶不上了
,5141572955148840,,,,,,,5141601333022378,2025-03-07T16:39:07+08:00,2025-03,非常需要育儿补贴以应对人口的未来发展
,5141572955148840,,,,,,,5141599727391165,2025-03-07T16:32:44+08:00,2025-03,孩子5岁半了，还能享受吗
,5141572955148840,,,,,,,5141599466816091,2025-03-07T16:31:41+08:00,2025-03,太好了，直接补贴钱才是真的利民
,5141572955148840,,,,,,,5141604345057937,2025-03-07T16:51:05+08:00,2025-03,这个真的太需要了[允悲][允悲][允悲]
,5141572955148840,,,,,,,5141597910994248,2025-03-07T16:25:31+08:00,2025-03,什么时候生的可以育儿补贴啊！快点出呗
,5141572955148840,,,,,,,5141598616162760,2025-03-07T16:28:19+08:00,2025-03,望补贴方案能多参考地方已有政策，结合实际，考虑不同地区、不同家庭的情况，让补贴真正发挥作用。
,5141572955148840,,,,,,,5141604659104026,2025-03-07T16:52:20+08:00,2025-03,希望更多更好的建议被采纳。
,5141572955148840,,,,,,,5141585276960929,2025-03-07T15:35:18+08:00,2025-03,希望尽快实施，我们可以早点享受好政策！
,5141572955148840,,,,,,,5141602284864172,2025-03-07T16:42:53+08:00,2025-03,我娃幼儿园还有2年，坐等[单身狗]
,5141572955148840,,,,,,,5141596639073909,2025-03-07T16:20:28+08:00,2025-03,[爱你][爱你]希望能推出真正落到实处的政策🙏
,5141572955148840,,,,,,,5141579338879700,2025-03-07T15:11:43+08:00,2025-03,发展新时代优质起草
,5141572955148840,,,,,,,5141604377822288,2025-03-07T16:51:13+08:00,2025-03,"快点吧,孩子都中班了"
,5141572955148840,,,,,,,5141600524567038,2025-03-07T16:35:53+08:00,2025-03,托管补贴，幼儿园免费[微笑]
,5141572955148840,,,,,,,5141604239416126,2025-03-07T16:50:40+08:00,2025-03,我刚怀孕能赶上上吗
,5141572955148840,,,,,,,5141598247323814,2025-03-07T16:26:51+08:00,2025-03,尽快起草尽早落实，快生娃了
,5141572955148840,,,,,,,5141598723902328,2025-03-07T16:28:45+08:00,2025-03,24年生的还能领取补贴吗[泪][泪][泪]
,5141572955148840,,,,,,,5141598010867871,2025-03-07T16:25:54+08:00,2025-03,产检免费，产假延长[苦涩][苦涩][苦涩]
央视新闻,5142591788550392,2025-03-10 10:14,2025-03,fertility,family_childrearing|fertility,生育|育儿,【全国政协委员朱同玉：#建议育儿补贴考虑不同地区收入水平##增加育龄女性就业友好度#】目前，国家卫生健康委正会同有关部门起草相关育儿补贴的操作方案。对此，全国政协委员、复旦大学上海医学院副院长朱同玉建议，探索由财政支持、资金来源多元化的育儿补贴制度，并根据不同地区收入水平进行调整。同时，他还提到，应增加育龄女性的就业友好度和社会托育服务供给，营造全社会尊重生育、支持生育的良好氛围↓↓（总台记者史迎春黄政龙）L央视新闻的微博视频,5142614349451187,2025-03-10T11:44:29+08:00,2025-03,我觉得这个委员说的很有道理啊，生育补贴可能在西部地区发挥的作用更明显。像一线城市很多人在意的可能并不是那个补贴的钱，女性更在意对自己职业生涯及人生自由的影响，所以更应该从就业等其他方面来改善这个情况
,5142591788550392,,,,,,,5142611358646403,2025-03-10T11:32:35+08:00,2025-03,各个地区都有高收入和低收入人群，只不过是占比不同，应该按家庭收入水平算，制定一条水平线，根据这个水平线界定补贴，收入高补贴低一点，收入低补贴高一点
,5142591788550392,,,,,,,5142608876667288,2025-03-10T11:22:43+08:00,2025-03,#建议育儿补贴考虑不同地区收入水平#这个提议比较实在[good]
,5142591788550392,,,,,,,5142607547073619,2025-03-10T11:17:26+08:00,2025-03,因地制宜，是比较合适的落地方法。可以有效的针对不同地区的群众进行补贴。是个好建议[抱一抱]#建议育儿补贴考虑不同地区收入水平# #增加育龄女性就业友好度# 
,5142591788550392,,,,,,,5142606687767074,2025-03-10T11:14:02+08:00,2025-03,#建议育儿补贴考虑不同地区收入水平#朱同玉委员关于“育儿差异化补贴+就业托育双支撑”的建议，折射出中国生育政策的转向——在人口结构加速变化的当下，单纯的经济补贴作用不大，而社会资源分配、性别平等与代际公平的系统性重构才是根本。 建立分级育儿补贴制度，本质是对“生育成本社会共担”原则的
,5142591788550392,,,,,,,5142592406162085,2025-03-10T10:17:17+08:00,2025-03,希望育儿补贴政策能尽快落实到各地区，减轻家庭育儿压力，促进地区消费。虽然我享受不到😂
,5142591788550392,,,,,,,5142598546360243,2025-03-10T10:41:41+08:00,2025-03,建议实行专项补贴 根据收入
,5142591788550392,,,,,,,5142594801111989,2025-03-10T10:26:48+08:00,2025-03,好政策应有好落实
,5142591788550392,,,,,,,5142624333207139,2025-03-10T12:24:09+08:00,2025-03,建议按照孩子年龄发
,5142591788550392,,,,,,,5142616141993161,2025-03-10T11:51:36+08:00,2025-03,按高标准全国统一
,5142591788550392,,,,,,,5142607420721037,2025-03-10T11:16:57+08:00,2025-03,这个政策好！发达城市压力大，多补贴一些
,5142591788550392,,,,,,,5142606082739181,2025-03-10T11:11:38+08:00,2025-03,@央视新闻: 【全国政协委员朱同玉：#建议育儿补贴考虑不同地区收入水平##增加育龄女性就业友好度#】#蜀安之声#
新华社,5140773809424371,2025-03-05 09:50,2025-03,fertility,family_childrearing|fertility,生育|育儿,【政府工作报告说，制定促进生育政策，#发放育儿补贴#】两会新华社快讯：政府工作报告说，制定促进生育政策，发放育儿补贴，大力发展托幼一体服务，增加普惠托育服务供给。#全国两会时光#,5140779950672028,2025-03-05T10:15:14+08:00,2025-03,赶紧通过，现在养个娃太费钱了[笑cry]
